iter	Passed	Remaining
0	3	6323
1	5	5712
2	7	4715
3	8	4175
4	9	3828
5	10	3576
6	12	3526
7	14	3659
8	16	3625
9	18	3676
10	19	3559
11	20	3444
12	22	3391
13	23	3298
14	24	3205
15	25	3122
16	26	3059
17	27	2990
18	28	2946
19	29	2930
20	30	2906
21	32	2900
22	33	2892
23	34	2859
24	35	2827
25	37	2823
26	38	2782
27	38	2725
28	39	2669
29	40	2648
30	41	2667
31	43	2645
32	44	2636
33	45	2614
34	46	2588
35	47	2580
36	48	2588
37	49	2565
38	50	2547
39	51	2541
40	53	2572
41	55	2566
42	56	2555
43	57	2573
44	58	2559
45	59	2541
46	60	2526
47	62	2525
48	62	2500
49	64	2514
50	65	2505
51	66	2502
52	68	2503
53	69	2504
54	70	2504
55	71	2475
56	72	2477
57	73	2458
58	74	2446
59	76	2469
60	77	2463
61	78	2467
62	80	2471
63	81	2465
64	82	2455
65	83	2447
66	85	2478
67	86	2467
68	87	2455
69	88	2453
70	89	2442
71	90	2433
72	92	2443
73	94	2448
74	95	2439
75	96	2431
76	97	2429
77	98	2426
78	100	2439
79	101	2439
80	102	2430
81	103	2426
82	104	2417
83	105	2409
84	106	2403
85	109	2446
86	111	2447
87	112	2438
88	113	2430
89	114	2421
90	115	2412
91	115	2397
92	115	2374
93	116	2365
94	117	2357
95	118	2348
96	119	2340
97	120	2332
98	121	2339
99	123	2355
100	126	2374
101	129	2407
102	130	2411
103	131	2405
104	132	2398
105	134	2405
106	136	2417
107	138	2422
108	139	2421
109	142	2445
110	142	2433
111	143	2425
112	144	2418
113	145	2409
114	146	2401
115	147	2393
116	148	2386
117	149	2378
118	151	2390
119	152	2393
120	154	2394
121	155	2389
122	156	2384
123	157	2379
124	158	2373
125	159	2369
126	160	2367
127	161	2363
128	163	2367
129	164	2366
130	166	2372
131	167	2374
132	170	2386
133	171	2383
134	172	2378
135	173	2371
136	173	2365
137	174	2358
138	175	2351
139	176	2347
140	178	2349
141	179	2344
142	180	2342
143	181	2339
144	182	2336
145	183	2335
146	185	2337
147	186	2338
148	188	2339
149	189	2337
150	190	2338
151	192	2334
152	193	2331
153	194	2326
154	195	2325
155	197	2332
156	198	2332
157	200	2339
158	201	2336
159	203	2336
160	205	2344
161	206	2348
162	208	2344
163	209	2344
164	211	2351
165	213	2357
166	214	2357
167	216	2357
168	217	2357
169	218	2356
170	220	2356
171	221	2351
172	222	2348
173	223	2349
174	225	2348
175	226	2348
176	227	2345
177	229	2344
178	230	2344
179	231	2344
180	233	2346
181	234	2345
182	236	2345
183	237	2344
184	238	2344
185	240	2349
186	242	2348
187	243	2349
188	245	2349
189	246	2347
190	247	2345
191	248	2343
192	250	2344
193	251	2340
194	252	2336
195	253	2336
196	255	2336
197	257	2339
198	258	2339
199	259	2338
200	261	2336
201	262	2338
202	264	2337
203	265	2333
204	266	2330
205	268	2334
206	269	2334
207	271	2339
208	273	2339
209	274	2343
210	277	2349
211	278	2350
212	280	2350
213	281	2349
214	282	2346
215	283	2343
216	284	2339
217	286	2339
218	287	2340
219	289	2339
220	290	2338
221	291	2334
222	292	2330
223	293	2326
224	294	2322
225	295	2320
226	296	2319
227	298	2319
228	299	2319
229	301	2321
230	302	2320
231	304	2317
232	305	2315
233	306	2311
234	370	2779
235	372	2784
236	374	2788
237	377	2796
238	380	2801
239	383	2809
240	385	2814
241	387	2818
242	390	2820
243	391	2819
244	394	2826
245	397	2833
246	400	2840
247	403	2848
248	406	2858
249	409	2866
250	413	2883
251	416	2887
252	419	2894
253	421	2897
254	424	2904
255	427	2914
256	430	2920
257	433	2928
258	436	2932
259	438	2936
260	439	2930
261	443	2938
262	444	2938
263	446	2939
264	449	2945
265	451	2940
266	452	2937
267	453	2933
268	455	2928
269	456	2923
270	458	2925
271	460	2925
272	461	2921
273	462	2916
274	463	2910
275	464	2904
276	465	2897
277	466	2892
278	467	2886
279	468	2879
280	469	2873
281	470	2866
282	472	2864
283	473	2861
284	474	2858
285	476	2856
286	477	2850
287	479	2849
288	480	2845
289	481	2839
290	482	2834
291	483	2828
292	484	2822
293	486	2824
294	488	2823
295	489	2818
296	490	2812
297	491	2806
298	492	2803
299	493	2798
300	495	2795
301	496	2790
302	497	2784
303	498	2778
304	499	2773
305	500	2768
306	501	2763
307	502	2761
308	504	2758
309	505	2753
310	506	2748
311	506	2742
312	507	2737
313	508	2731
314	509	2726
315	510	2721
316	511	2715
317	512	2711
318	513	2705
319	514	2700
320	515	2694
321	516	2689
322	517	2687
323	519	2687
324	520	2682
325	521	2677
326	522	2675
327	524	2671
328	525	2667
329	526	2663
330	527	2658
331	528	2655
332	529	2651
333	530	2647
334	532	2644
335	533	2642
336	535	2640
337	536	2637
338	537	2634
339	538	2630
340	540	2628
341	541	2623
342	542	2619
343	543	2614
344	544	2609
345	544	2604
346	545	2599
347	546	2595
348	547	2592
349	549	2588
350	550	2584
351	551	2582
352	553	2580
353	554	2578
354	556	2576
355	557	2572
356	558	2568
357	558	2563
358	560	2559
359	560	2555
360	562	2554
361	563	2550
362	565	2549
363	566	2545
364	567	2542
365	568	2538
366	569	2534
367	570	2529
368	571	2525
369	572	2520
370	573	2516
371	574	2512
372	574	2507
373	576	2504
374	577	2502
375	578	2499
376	579	2495
377	581	2494
378	582	2490
379	583	2486
380	584	2483
381	585	2478
382	586	2474
383	587	2470
384	587	2465
385	588	2461
386	589	2457
387	590	2453
388	591	2448
389	592	2445
390	594	2444
391	595	2441
392	596	2438
393	597	2436
394	599	2434
395	600	2431
396	601	2429
397	603	2427
398	604	2424
399	605	2421
400	606	2418
401	608	2420
402	611	2423
403	613	2422
404	622	2452
405	624	2450
406	626	2451
407	627	2447
408	628	2444
409	629	2442
410	630	2439
411	632	2437
412	633	2434
413	634	2430
414	635	2426
415	636	2422
416	637	2419
417	639	2419
418	640	2418
419	642	2416
420	643	2413
421	644	2410
422	645	2406
423	646	2403
424	647	2399
425	648	2396
426	649	2392
427	650	2388
428	652	2388
429	653	2387
430	655	2385
431	656	2383
432	658	2381
433	659	2379
434	661	2378
435	662	2377
436	664	2376
437	665	2374
438	666	2371
439	668	2368
440	669	2366
441	670	2363
442	671	2359
443	672	2355
444	673	2351
445	673	2348
446	674	2344
447	675	2340
448	676	2336
449	679	2341
450	681	2339
451	682	2337
452	683	2334
453	684	2331
454	685	2327
455	686	2324
456	687	2322
457	689	2319
458	690	2316
459	691	2313
460	692	2312
461	694	2312
462	696	2310
463	697	2308
464	698	2305
465	700	2304
466	701	2302
467	702	2299
468	703	2296
469	704	2292
470	705	2290
471	706	2286
472	707	2285
473	709	2283
474	710	2280
475	711	2278
476	712	2274
477	713	2271
478	714	2268
479	715	2264
480	716	2261
481	717	2258
482	717	2254
483	718	2251
484	719	2248
485	720	2245
486	722	2244
487	723	2242
488	725	2241
489	726	2239
490	728	2237
491	729	2235
492	730	2233
493	731	2230
494	732	2228
495	733	2225
496	735	2223
497	736	2221
498	738	2220
499	739	2219
500	741	2217
501	742	2216
502	743	2214
503	745	2211
504	746	2208
505	747	2205
506	748	2203
507	749	2199
508	750	2198
509	752	2197
510	753	2196
511	754	2193
512	755	2190
513	756	2187
514	757	2184
515	758	2181
516	759	2178
517	760	2175
518	761	2172
519	762	2168
520	762	2165
521	764	2163
522	764	2160
523	765	2156
524	766	2153
525	768	2152
526	769	2150
527	770	2147
528	771	2144
529	772	2141
530	772	2138
531	773	2134
532	774	2131
533	775	2128
534	776	2125
535	777	2122
536	778	2120
537	779	2117
538	780	2114
539	780	2111
540	781	2108
541	783	2107
542	784	2104
543	785	2102
544	786	2099
545	787	2096
546	788	2093
547	789	2090
548	790	2088
549	790	2085
550	792	2083
551	793	2081
552	794	2079
553	796	2078
554	797	2075
555	798	2074
556	800	2073
557	801	2071
558	802	2069
559	803	2066
560	804	2064
561	805	2061
562	807	2060
563	808	2058
564	809	2056
565	810	2054
566	811	2052
567	813	2051
568	815	2050
569	816	2049
570	818	2047
571	819	2044
572	819	2042
573	820	2039
574	821	2036
575	822	2033
576	823	2031
577	824	2028
578	825	2025
579	826	2023
580	827	2020
581	828	2019
582	830	2017
583	831	2016
584	832	2014
585	833	2011
586	834	2008
587	835	2006
588	836	2003
589	837	2000
590	838	1998
591	838	1995
592	839	1992
593	840	1989
594	842	1988
595	843	1988
596	844	1985
597	845	1983
598	846	1980
599	847	1977
600	848	1975
601	849	1973
602	850	1971
603	851	1968
604	852	1965
605	853	1963
606	854	1960
607	855	1958
608	856	1956
609	857	1953
610	858	1952
611	860	1950
612	861	1948
613	861	1945
614	862	1943
615	863	1940
616	864	1937
617	865	1935
618	866	1933
619	867	1930
620	868	1928
621	869	1926
622	870	1923
623	871	1921
624	872	1918
625	872	1915
626	874	1914
627	875	1912
628	876	1910
629	877	1908
630	878	1906
631	879	1903
632	880	1901
633	881	1898
634	882	1896
635	882	1893
636	883	1891
637	884	1888
638	885	1886
